created_at,id,likes_count,mentions,replies_count,retweets_count,user_id
2020-07-12 09:58:39,1282253026443628544,1, iambolajiayo,0,0,887600911270412288
2020-07-12 09:10:36,1282240936307810305,1,oluwabamikemi,0,0,1058744590658887680
2020-07-12 09:10:36,1282240936307810305,1, shecodeafrica,0,0,1058744590658887680
2020-07-12 09:10:36,1282240936307810305,1, hashnode,0,0,1058744590658887680
2020-07-12 08:25:18,1282229536046952448,1,ikegahruth,1,0,405522080
2020-07-12 08:25:18,1282229536046952448,1, shecodeafrica,1,0,405522080
2020-07-12 08:25:18,1282229536046952448,1, hashnode,1,0,405522080
2020-07-12 08:13:52,1282226659635208193,14,aniediudo,1,5,1035714907398922241
2020-07-12 08:13:52,1282226659635208193,14, didicodes,1,5,1035714907398922241
2020-07-12 08:13:52,1282226659635208193,14, vicradon,1,5,1035714907398922241
2020-07-12 08:13:52,1282226659635208193,14, georgietek,1,5,1035714907398922241
2020-07-12 08:13:52,1282226659635208193,14, hashnode,1,5,1035714907398922241
2020-07-12 07:04:50,1282209283996819456,1,ikegahruth,1,0,1230777755614285824
2020-07-12 07:04:50,1282209283996819456,1, shecodeafrica,1,0,1230777755614285824
2020-07-12 07:04:50,1282209283996819456,1, hashnode,1,0,1230777755614285824
2020-07-12 07:04:48,1282209277667676162,2,hashnode,1,1,1118741576669376512
2020-07-12 07:04:48,1282209277667676162,2, iambolajiayo,1,1,1118741576669376512
2020-07-12 07:04:48,1282209277667676162,2, didicodes,1,1,1118741576669376512
2020-07-12 06:55:56,1282207043160616964,16,hashnode,0,4,289917239
2020-07-12 06:33:16,1282201339959881734,0,hashnode,0,0,1246857156265226242
2020-07-12 03:07:23,1282149527496142848,0,hashnode,0,0,32882639
2020-07-12 02:33:54,1282141100774498305,1,abiolaesther_,0,0,804310508996280320
2020-07-12 02:33:54,1282141100774498305,1, hashnode,0,0,804310508996280320
2020-07-12 02:18:01,1282137104835842048,17,abiolaesther_,2,6,1049455480941289473
2020-07-12 02:18:01,1282137104835842048,17, hashnode,2,6,1049455480941289473
2020-07-12 01:37:23,1282126881324773376,3,hashnode,0,0,3161727787
2020-07-12 01:15:04,1282121262739972097,1,kemmie011,0,0,728644610
2020-07-12 01:15:04,1282121262739972097,1, hashnode,0,0,728644610
2020-07-12 01:04:52,1282118696870326273,1,kemmie011,0,0,987305447555325952
2020-07-12 01:04:52,1282118696870326273,1, hashnode,0,0,987305447555325952
2020-07-12 00:03:52,1282103345050787841,1,hashnode,0,1,1192863894240448512
2020-07-11 23:51:39,1282100270814691328,5,hashnode,0,3,1058744590658887680
2020-07-11 23:49:31,1282099732945473538,5,didicodes,0,1,1058744590658887680
2020-07-11 23:49:31,1282099732945473538,5, hashnode,0,1,1058744590658887680
2020-07-11 23:41:34,1282097734808408065,9,hashnode,0,4,1058744590658887680
2020-07-11 23:36:10,1282096376243990528,3,didicodes,0,0,1099242782630313984
2020-07-11 23:36:10,1282096376243990528,3, anita_ihuman,0,0,1099242782630313984
2020-07-11 23:36:10,1282096376243990528,3, ikegahruth,0,0,1099242782630313984
2020-07-11 23:36:10,1282096376243990528,3, hashnode,0,0,1099242782630313984
2020-07-11 23:20:49,1282092511348105217,2,anita_ihuman,0,0,1704914893
2020-07-11 23:20:49,1282092511348105217,2, hashnode,0,0,1704914893
2020-07-11 23:06:53,1282089005337763840,1,techbadguyy,0,1,1058744590658887680
2020-07-11 23:06:53,1282089005337763840,1, shecodeafrica,0,1,1058744590658887680
2020-07-11 23:06:53,1282089005337763840,1, hashnode,0,1,1058744590658887680
2020-07-11 23:06:29,1282088905731452928,1,ikegahruth,1,0,1214943582521643008
2020-07-11 23:06:29,1282088905731452928,1, shecodeafrica,1,0,1214943582521643008
2020-07-11 23:06:29,1282088905731452928,1, hashnode,1,0,1214943582521643008
2020-07-11 23:06:01,1282088788869685249,46,shecodeafrica,7,9,1058744590658887680
2020-07-11 23:06:01,1282088788869685249,46, hashnode,7,9,1058744590658887680
2020-07-11 23:00:28,1282087390073552897,0,didicodes,0,0,3161727787
2020-07-11 23:00:28,1282087390073552897,0, alabobriggs_,0,0,3161727787
2020-07-11 23:00:28,1282087390073552897,0, hashnode,0,0,3161727787
2020-07-11 22:59:32,1282087156081668097,39,shecodeafrica,2,20,1058744590658887680
2020-07-11 22:59:32,1282087156081668097,39, ikegahruth,2,20,1058744590658887680
2020-07-11 22:59:32,1282087156081668097,39, hashnode,2,20,1058744590658887680
2020-07-11 22:48:42,1282084428777435139,0,didicodes,1,0,1099242782630313984
2020-07-11 22:48:42,1282084428777435139,0, anita_ihuman,1,0,1099242782630313984
2020-07-11 22:48:42,1282084428777435139,0, ikegahruth,1,0,1099242782630313984
2020-07-11 22:48:42,1282084428777435139,0, hashnode,1,0,1099242782630313984
2020-07-11 22:36:11,1282081280314703872,0,didicodes,0,0,3161727787
2020-07-11 22:36:11,1282081280314703872,0, alabobriggs_,0,0,3161727787
2020-07-11 22:36:11,1282081280314703872,0, hashnode,0,0,3161727787
2020-07-11 22:18:55,1282076934827057152,0,keem_tarantino,1,0,887600911270412288
2020-07-11 22:18:55,1282076934827057152,0, anita_ihuman,1,0,887600911270412288
2020-07-11 22:18:55,1282076934827057152,0, ikegahruth,1,0,887600911270412288
2020-07-11 22:18:55,1282076934827057152,0, hashnode,1,0,887600911270412288
2020-07-11 22:13:41,1282075615605092352,1,didicodes,1,0,1099242782630313984
2020-07-11 22:13:41,1282075615605092352,1, anita_ihuman,1,0,1099242782630313984
2020-07-11 22:13:41,1282075615605092352,1, ikegahruth,1,0,1099242782630313984
2020-07-11 22:13:41,1282075615605092352,1, hashnode,1,0,1099242782630313984
2020-07-11 22:06:53,1282073906434707464,5,kemmie011,1,2,1205224429346787328
2020-07-11 22:06:53,1282073906434707464,5, hashnode,1,2,1205224429346787328
2020-07-11 21:54:05,1282070684525617157,1,keem_tarantino,1,0,887600911270412288
2020-07-11 21:54:05,1282070684525617157,1, anita_ihuman,1,0,887600911270412288
2020-07-11 21:54:05,1282070684525617157,1, ikegahruth,1,0,887600911270412288
2020-07-11 21:54:05,1282070684525617157,1, hashnode,1,0,887600911270412288
2020-07-11 21:53:40,1282070577931530241,5,anita_ihuman,2,1,887600911270412288
2020-07-11 21:53:40,1282070577931530241,5, alabobriggs_,2,1,887600911270412288
2020-07-11 21:53:40,1282070577931530241,5, hashnode,2,1,887600911270412288
2020-07-11 21:39:31,1282067019555373057,33,hashnode,2,16,1230777755614285824
2020-07-11 21:39:31,1282067019555373057,33, shecodeafrica,2,16,1230777755614285824
2020-07-11 21:39:31,1282067019555373057,33, didicodes,2,16,1230777755614285824
2020-07-11 21:27:06,1282063893251203078,2,hashnode,0,0,1193246115908460544
2020-07-11 21:23:14,1282062920399101952,2,hashnode,0,0,878190692480233472
2020-07-11 21:03:13,1282057882478018561,8,hashnode,0,2,887600911270412288
2020-07-11 20:33:03,1282050290817138690,0,obizim_,0,0,2147714328
2020-07-11 20:33:03,1282050290817138690,0, hashnode,0,0,2147714328
2020-07-11 19:41:23,1282037289309417472,2,ikegahruth,0,0,1114547124065185792
2020-07-11 19:41:23,1282037289309417472,2, hashnode,0,0,1114547124065185792
2020-07-11 19:39:52,1282036907434795009,1,kelvinrubbie,1,0,1058744590658887680
2020-07-11 19:39:52,1282036907434795009,1, hashnode,1,0,1058744590658887680
2020-07-11 19:25:14,1282033225099915264,3,ikegahruth,1,0,1114547124065185792
2020-07-11 19:25:14,1282033225099915264,3, hashnode,1,0,1114547124065185792
2020-07-11 16:40:57,1281991881186930688,1,hashnode,0,0,1085490273981886464
2020-07-11 15:39:02,1281976298613743618,1,hashnode,0,1,99120951
2020-07-11 15:05:27,1281967846294159360,0,kelvinrubbie,0,0,3161727787
2020-07-11 15:05:27,1281967846294159360,0, hashnode,0,0,3161727787
2020-07-11 14:50:24,1281964062725885952,3,anita_ihuman,0,0,1114547124065185792
2020-07-11 14:50:24,1281964062725885952,3, hashnode,0,0,1114547124065185792
2020-07-11 14:45:54,1281962926618935296,1,anita_ihuman,1,0,1114547124065185792
2020-07-11 14:45:54,1281962926618935296,1, hashnode,1,0,1114547124065185792
2020-07-11 14:40:11,1281961490375999495,1,iambolajiayo,0,0,1090956849095077888
2020-07-11 14:40:11,1281961490375999495,1, hashnode,0,0,1090956849095077888
2020-07-11 14:34:59,1281960181161697283,33,hashnode,3,10,1277185751541833732
2020-07-11 14:30:04,1281958942743031809,2,hashnode,0,1,936247550658560000
2020-07-11 14:17:58,1281955897053532160,4,hashnode,0,2,1256168306073047041
2020-07-11 12:51:16,1281934077931720704,16,hashnode,0,1,1196166471753310208
2020-07-11 12:34:36,1281929886618152960,1,hashnode,0,0,892802220206379008
2020-07-11 12:32:24,1281929330226982913,3,its_ayush24,1,0,936247550658560000
2020-07-11 12:32:24,1281929330226982913,3, hashnode,1,0,936247550658560000
2020-07-11 12:29:20,1281928560043790348,0,ravavyr,0,0,1263874738729910274
2020-07-11 12:29:20,1281928560043790348,0, hashnode,0,0,1263874738729910274
2020-07-11 12:25:56,1281927702891704331,0,obizim_,1,0,1058141731835863040
2020-07-11 12:25:56,1281927702891704331,0, hashnode,1,0,1058141731835863040
2020-07-11 12:03:47,1281922129068466178,0,ravavyr,1,0,1263874738729910274
2020-07-11 12:03:47,1281922129068466178,0, hashnode,1,0,1263874738729910274
2020-07-11 11:51:10,1281918955255402497,0,obizim_,1,0,1058141731835863040
2020-07-11 11:51:10,1281918955255402497,0, hashnode,1,0,1058141731835863040
2020-07-11 11:30:54,1281913853929021441,1,hashnode,1,1,1263874738729910274
2020-07-11 11:24:58,1281912359959891968,8,vicradon,0,1,1087853138445520897
2020-07-11 11:24:58,1281912359959891968,8, hashnode,0,1,1087853138445520897
2020-07-11 11:09:20,1281908426231222275,0,anita_ihuman,2,0,1099242782630313984
2020-07-11 11:09:20,1281908426231222275,0, ikegahruth,2,0,1099242782630313984
2020-07-11 11:09:20,1281908426231222275,0, hashnode,2,0,1099242782630313984
2020-07-11 10:32:10,1281899073113591809,39,vicradon,0,20,887600911270412288
2020-07-11 10:32:10,1281899073113591809,39, hashnode,0,20,887600911270412288
2020-07-11 09:17:49,1281880364143738881,5,r_flutterdev,0,3,66185848
2020-07-11 09:17:49,1281880364143738881,5, flutterdev,0,3,66185848
2020-07-11 09:17:49,1281880364143738881,5, fluttercomm,0,3,66185848
2020-07-11 09:17:49,1281880364143738881,5, hashnode,0,3,66185848
2020-07-11 09:11:34,1281878789857972224,17,hashnode,0,2,1058744590658887680
2020-07-11 09:08:27,1281878004864614401,18,hashnode,3,5,3161727787
2020-07-11 08:39:06,1281870621857574912,1,hashnode,1,0,1263874738729910274
2020-07-11 08:39:06,1281870621857574912,1, ndubuisi_ugwulo,1,0,1263874738729910274
2020-07-11 08:00:01,1281860782435840000,14,hashnode,1,6,1030435025135779840
2020-07-11 04:39:53,1281810419124826113,1,jonnydem,0,0,1266369436706996224
2020-07-11 04:39:53,1281810419124826113,1, codenewbies,0,0,1266369436706996224
2020-07-11 04:39:53,1281810419124826113,1, womenwhocode,0,0,1266369436706996224
2020-07-11 04:39:53,1281810419124826113,1, hashnode,0,0,1266369436706996224
2020-07-11 04:39:53,1281810419124826113,1, freecodecamp,0,0,1266369436706996224
2020-07-11 04:39:53,1281810419124826113,1, stackoverflow,0,0,1266369436706996224
2020-07-11 04:39:53,1281810419124826113,1, hackernews,0,0,1266369436706996224
2020-07-11 04:39:53,1281810419124826113,1, thepracticaldev,0,0,1266369436706996224
2020-07-11 04:39:53,1281810419124826113,1, hackernoon,0,0,1266369436706996224
2020-07-11 04:39:53,1281810419124826113,1, kaggle,0,0,1266369436706996224
2020-07-11 04:39:53,1281810419124826113,1, indiehackers,0,0,1266369436706996224
2020-07-10 23:08:30,1281727022960648194,4,hashnode,0,0,1211418156981342209
2020-07-10 21:06:05,1281696215646838784,0,didicodes,0,0,2743381395
2020-07-10 21:06:05,1281696215646838784,0, hashnode,0,0,2743381395
2020-07-10 20:51:13,1281692475371876352,0,hashnode,0,0,418735971
2020-07-10 20:51:13,1281692475371876352,0, iambolajiayo,0,0,418735971
2020-07-10 20:24:20,1281685709359853568,3,hashnode,0,0,150010751
2020-07-10 20:10:28,1281682221246676994,1,femcodea,0,0,1151772065332105216
2020-07-10 20:10:28,1281682221246676994,1, didicodes,0,0,1151772065332105216
2020-07-10 20:10:28,1281682221246676994,1, hashnode,0,0,1151772065332105216
2020-07-10 20:09:35,1281681998122307585,15,daveaji,1,5,887600911270412288
2020-07-10 20:09:35,1281681998122307585,15, hashnode,1,5,887600911270412288
2020-07-10 19:45:47,1281676009981587456,2,_amustapha,0,1,4533343354
2020-07-10 19:45:47,1281676009981587456,2, hashnode,0,1,4533343354
2020-07-10 19:30:52,1281672255764934656,1,fazlerocks,0,0,540083820
2020-07-10 19:30:52,1281672255764934656,1, hashnode,0,0,540083820
2020-07-10 19:27:10,1281671323580678144,1,rafmst,1,0,107991290
2020-07-10 19:27:10,1281671323580678144,1, hashnode,1,0,107991290
2020-07-10 19:05:28,1281665862559203328,0,hashnode,1,0,540083820
2020-07-10 18:58:14,1281664042592018433,3,hashnode,0,1,1155604386246266880
2020-07-10 18:56:07,1281663508460052480,0,fazlerocks,0,0,491257930
2020-07-10 18:56:07,1281663508460052480,0, jordanirabor,0,0,491257930
2020-07-10 18:56:07,1281663508460052480,0, hashnode,0,0,491257930
2020-07-10 18:32:58,1281657683267862528,16,lo_victoria2666,0,14,1177056539892473856
2020-07-10 18:32:58,1281657683267862528,16, hashnode,0,14,1177056539892473856
2020-07-10 18:31:47,1281657387800309760,2,edvicercourses,1,0,1631386735
2020-07-10 18:31:47,1281657387800309760,2, codenewbies,1,0,1631386735
2020-07-10 18:31:47,1281657387800309760,2, womenwhocode,1,0,1631386735
2020-07-10 18:31:47,1281657387800309760,2, hashnode,1,0,1631386735
2020-07-10 18:31:47,1281657387800309760,2, freecodecamp,1,0,1631386735
2020-07-10 18:31:47,1281657387800309760,2, stackoverflow,1,0,1631386735
2020-07-10 18:31:47,1281657387800309760,2, hackernews,1,0,1631386735
2020-07-10 18:31:47,1281657387800309760,2, thepracticaldev,1,0,1631386735
2020-07-10 18:31:47,1281657387800309760,2, hackernoon,1,0,1631386735
2020-07-10 18:31:47,1281657387800309760,2, kaggle,1,0,1631386735
2020-07-10 18:31:47,1281657387800309760,2, indiehackers,1,0,1631386735
2020-07-10 18:14:25,1281653016609853440,7,hashnode,0,1,2147714328
2020-07-10 17:59:45,1281649324124856321,1,bytenaija,1,0,107991290
2020-07-10 17:59:45,1281649324124856321,1, jordanirabor,1,0,107991290
2020-07-10 17:59:45,1281649324124856321,1, hashnode,1,0,107991290
2020-07-10 17:07:41,1281636222352478211,13,hashnode,1,10,389553776
2020-07-10 17:03:49,1281635247902191616,1,alvarocamillont,1,0,107991290
2020-07-10 17:03:49,1281635247902191616,1, waneves,1,0,107991290
2020-07-10 17:03:49,1281635247902191616,1, netomarin,1,0,107991290
2020-07-10 17:00:55,1281634518214963200,4,lo_victoria2666,0,1,979241788387901440
2020-07-10 17:00:55,1281634518214963200,4, hashnode,0,1,979241788387901440
2020-07-10 17:00:39,1281634453148712960,4,netomarin,0,1,107991290
2020-07-10 17:00:39,1281634453148712960,4, hashnode,0,1,107991290
2020-07-10 16:13:16,1281622528830648320,0,iambolajiayo,0,0,920802905162215424
2020-07-10 16:13:16,1281622528830648320,0, hashnode,0,0,920802905162215424
2020-07-10 16:13:16,1281622528830648320,0, frankgreen100,0,0,920802905162215424
2020-07-10 15:41:06,1281614432175624192,1,obizim_,0,0,1058744590658887680
2020-07-10 15:41:06,1281614432175624192,1, hashnode,0,0,1058744590658887680
2020-07-10 15:37:47,1281613595638366210,1,ikegahruth,1,0,1263874738729910274
2020-07-10 15:37:47,1281613595638366210,1, hashnode,1,0,1263874738729910274
2020-07-10 15:33:36,1281612545359589377,2,ikegahruth,0,0,1196166471753310208
2020-07-10 15:33:36,1281612545359589377,2, hashnode,0,0,1196166471753310208
2020-07-10 15:33:27,1281612507698929664,2,ikegahruth,0,0,1196166471753310208
2020-07-10 15:33:27,1281612507698929664,2, hashnode,0,0,1196166471753310208
2020-07-10 15:26:17,1281610703082795009,6,lo_victoria2666,0,0,1058744590658887680
2020-07-10 15:26:17,1281610703082795009,6, hashnode,0,0,1058744590658887680
2020-07-10 15:19:23,1281608966246719488,11,code_quinn,1,4,1058744590658887680
2020-07-10 15:19:23,1281608966246719488,11, hashnode,1,4,1058744590658887680
2020-07-10 15:16:46,1281608310010118146,20,ikegahruth,1,5,1058744590658887680
2020-07-10 15:16:46,1281608310010118146,20, hashnode,1,5,1058744590658887680
2020-07-10 14:21:03,1281594285046013956,7,code_quinn,1,1,1058744590658887680
2020-07-10 14:21:03,1281594285046013956,7, hashnode,1,1,1058744590658887680
2020-07-10 13:59:56,1281588971672424455,18,lo_victoria2666,1,5,763755919
2020-07-10 13:59:56,1281588971672424455,18, hashnode,1,5,763755919
2020-07-10 13:49:43,1281586403428769792,1,waneves,2,0,18974707
2020-07-10 13:49:43,1281586403428769792,1, netomarin,2,0,18974707
2020-07-10 13:25:21,1281580268533448711,73,iambolajiayo,1,20,890634172716527616
2020-07-10 13:25:21,1281580268533448711,73, hashnode,1,20,890634172716527616
2020-07-10 13:11:13,1281576714565382144,9,tapasadhikary,0,9,31463371
2020-07-10 13:11:13,1281576714565382144,9, hashnode,0,9,31463371
2020-07-10 12:41:30,1281569234246668289,1,hashnode,0,5,1205252116127846403
2020-07-10 12:41:30,1281569234246668289,1, code_quinn,0,5,1205252116127846403
2020-07-10 12:22:31,1281564454862422017,3,hashnode,0,2,780463636020097024
2020-07-10 11:43:55,1281554744755073029,6,oladunjoye_,0,4,184387129
2020-07-10 11:43:55,1281554744755073029,6, hashnode,0,4,184387129
2020-07-10 10:53:46,1281542122475159553,15,hashnode,0,4,92261165
2020-07-10 10:53:42,1281542106901819393,8,hashnode,0,2,1394326038
2020-07-10 08:27:06,1281505212310736896,1,kalsonsaint,0,0,906555145
2020-07-10 08:27:06,1281505212310736896,1, gbemi_l_david,0,0,906555145
2020-07-10 08:27:06,1281505212310736896,1, hashnode,0,0,906555145
2020-07-10 08:27:06,1281505212310736896,1, gikwegbu,0,0,906555145
2020-07-10 08:27:06,1281505212310736896,1, andreyang_,0,0,906555145
2020-07-10 07:34:01,1281491851837681664,1,the_fznd,0,1,138494043
2020-07-10 07:34:01,1281491851837681664,1, hashnode,0,1,138494043
2020-07-10 06:45:54,1281479744446488576,24,hashnode,0,14,878190692480233472
2020-07-10 06:32:54,1281476472474079233,10,ikegahruth,0,9,1087853138445520897
2020-07-10 06:32:54,1281476472474079233,10, hashnode,0,9,1087853138445520897
2020-07-10 06:13:47,1281471663226281991,2,edvicercourses,0,0,1267835781382467585
2020-07-10 06:13:47,1281471663226281991,2, womenwhocode,0,0,1267835781382467585
2020-07-10 06:13:47,1281471663226281991,2, hashnode,0,0,1267835781382467585
2020-07-10 06:13:47,1281471663226281991,2, freecodecamp,0,0,1267835781382467585
2020-07-10 06:13:47,1281471663226281991,2, stackoverflow,0,0,1267835781382467585
2020-07-10 06:13:47,1281471663226281991,2, hackernews,0,0,1267835781382467585
