created_at,emojis,id,likes_count,replies_count,retweets_count,user_id
2020-08-18 07:01:46,🎉,1295616862441680897,20,2,0,860707444489674752
2020-08-18 07:01:46,🎊,1295616862441680897,20,2,0,860707444489674752
2020-08-18 06:41:47,😉,1295611835220140033,4,1,0,3034779219
2020-08-18 06:32:10,🥂,1295609415593320454,157,3,19,905097033157148672
2020-08-18 06:32:10,🍾,1295609415593320454,157,3,19,905097033157148672
2020-08-18 06:05:25,🙂,1295602684112834561,1,0,0,1212560310332084224
2020-08-18 05:47:46,👌,1295598242609102848,2,1,0,763755919
2020-08-18 05:45:55,💛,1295597775799955456,1,0,0,1230777755614285824
2020-08-18 05:45:55,🤗,1295597775799955456,1,0,0,1230777755614285824
2020-08-18 05:45:40,💛,1295597712029687809,0,0,0,1230777755614285824
2020-08-18 05:41:57,😬,1295596779371724801,3,1,0,1212560310332084224
2020-08-18 05:41:57,😁,1295596779371724801,3,1,0,1212560310332084224
2020-08-18 05:21:30,📢,1295591632511868928,58,10,22,763755919
2020-08-18 03:40:25,👋,1295566193135362048,0,0,0,214395203
2020-08-18 03:39:29,❤,1295565957860069376,5,1,0,214395203
2020-08-18 03:39:29,😅,1295565957860069376,5,1,0,214395203
2020-08-17 23:05:00,😋,1295496883004149761,4,0,1,3957817872
2020-08-17 23:05:00,✍,1295496883004149761,4,0,1,3957817872
2020-08-17 22:18:03,😁,1295485067767304192,0,0,0,1007277927615123456
2020-08-17 22:12:29,👏,1295483666366259200,1,1,0,107991290
2020-08-17 22:04:32,👋,1295481663212969991,64,3,19,1166770921744543744
2020-08-17 21:21:06,💙,1295470736786759682,9,1,13,1007277927615123456
2020-08-17 21:21:06,😁,1295470736786759682,9,1,13,1007277927615123456
2020-08-17 21:19:42,😴,1295470382196174853,0,1,0,71292792
2020-08-17 20:26:10,🔥,1295456911853334529,1,1,0,110158960
2020-08-17 20:24:57,❤,1295456603056082946,6,1,0,173057927
2020-08-17 20:21:48,😅,1295455811221807104,2,1,0,1015727234
2020-08-17 20:19:01,🌎,1295455112140292097,0,0,0,936660991630290945
2020-08-17 20:19:01,⚡,1295455112140292097,0,0,0,936660991630290945
2020-08-17 20:19:01,⚙,1295455112140292097,0,0,0,936660991630290945
2020-08-17 20:19:01,🎉,1295455112140292097,0,0,0,936660991630290945
2020-08-17 19:43:43,💛,1295446228797476864,3,1,12,1230777755614285824
2020-08-17 18:28:41,😃,1295427344165777408,4,1,0,414633930
2020-08-17 18:03:05,😎,1295420901245108235,7,0,3,1241983442209738753
2020-08-17 18:03:05,🔥,1295420901245108235,7,0,3,1241983442209738753
2020-08-17 16:01:34,🙌,1295390323145768960,1,0,0,1225450664655867904
2020-08-17 15:52:13,🌎,1295387967318450176,1,0,0,1625534276
2020-08-17 15:52:13,⚡,1295387967318450176,1,0,0,1625534276
2020-08-17 15:52:13,⚙,1295387967318450176,1,0,0,1625534276
2020-08-17 15:52:13,🎉,1295387967318450176,1,0,0,1625534276
2020-08-17 15:11:59,🙌,1295377842994380800,1,0,0,227904467
2020-08-17 12:26:38,🙌,1295336231899979777,1,0,0,815592161131560960
2020-08-17 12:26:38,🏾,1295336231899979777,1,0,0,815592161131560960
2020-08-17 11:58:31,👋,1295329153957339142,5,0,0,870914625918849024
2020-08-17 11:43:23,🥳,1295325345596530691,1,0,0,763755919
2020-08-17 11:23:31,😊,1295320346174816260,1,1,0,1265984834037571584
2020-08-17 11:23:20,🌎,1295320300549267456,3,0,1,360045401
2020-08-17 11:23:20,⚡,1295320300549267456,3,0,1,360045401
2020-08-17 11:23:20,⚙,1295320300549267456,3,0,1,360045401
2020-08-17 11:23:20,🎉,1295320300549267456,3,0,1,360045401
2020-08-17 11:16:09,🌎,1295318496130334720,1,0,0,2363115061
2020-08-17 11:16:09,⚡,1295318496130334720,1,0,0,2363115061
2020-08-17 11:16:09,⚙,1295318496130334720,1,0,0,2363115061
2020-08-17 11:16:09,🎉,1295318496130334720,1,0,0,2363115061
2020-08-17 10:30:09,🏽,1295306918349676545,1,0,1,1260908858639290368
2020-08-17 10:30:09,💻,1295306918349676545,1,0,1,1260908858639290368
2020-08-17 10:30:09,👏,1295306918349676545,1,0,1,1260908858639290368
2020-08-17 10:30:09,👩,1295306918349676545,1,0,1,1260908858639290368
2020-08-17 10:30:09,🤩,1295306918349676545,1,0,1,1260908858639290368
2020-08-17 10:25:50,🎉,1295305831987073025,1,0,0,107991290
2020-08-17 10:00:00,🚀,1295299331361312769,14,0,6,1030435025135779840
2020-08-17 10:00:00,🗨,1295299331361312769,14,0,6,1030435025135779840
