created_at,hashtags,id,likes_count,replies_count,retweets_count,user_id
2020-08-19 07:33:35,#2articles1week,1295987258667851776,2,2,6,1174350733023399936
2020-08-19 07:33:35, #reactjs,1295987258667851776,2,2,6,1174350733023399936
2020-08-19 07:33:35, #code,1295987258667851776,2,2,6,1174350733023399936
2020-08-19 07:33:35, #webdevelopment,1295987258667851776,2,2,6,1174350733023399936
2020-08-19 07:33:35, #devcommunity,1295987258667851776,2,2,6,1174350733023399936
2020-08-19 07:33:35, #javascript,1295987258667851776,2,2,6,1174350733023399936
2020-08-19 07:33:35, #frontend,1295987258667851776,2,2,6,1174350733023399936
2020-08-19 06:39:30,#100daysofcoding,1295973649980170243,0,0,14,106147913
2020-08-19 06:39:30, #colab,1295973649980170243,0,0,14,106147913
2020-08-19 06:39:30, #firebase,1295973649980170243,0,0,14,106147913
2020-08-19 06:39:30, #hashnode,1295973649980170243,0,0,14,106147913
2020-08-19 06:39:30, #100daysofcode,1295973649980170243,0,0,14,106147913
2020-08-19 06:29:00,#mobileapps,1295971004775165952,2,0,3,1189385925203116032
2020-08-19 06:29:00, #machinelearning,1295971004775165952,2,0,3,1189385925203116032
2020-08-19 06:29:00, #appdevelopment,1295971004775165952,2,0,3,1189385925203116032
2020-08-19 05:00:31,#2articles1week,1295948739626987521,14,1,20,1241983442209738753
2020-08-19 05:00:31, #100daysofcode,1295948739626987521,14,1,20,1241983442209738753
2020-08-19 05:00:31, #codenewbie,1295948739626987521,14,1,20,1241983442209738753
2020-08-19 03:29:00,#2articles1week,1295925706237464576,0,1,0,2214325508
2020-08-19 03:29:00, #2articles1week,1295925706237464576,0,1,0,2214325508
2020-08-19 03:29:00, #hashnode,1295925706237464576,0,1,0,2214325508
2020-08-19 02:43:42,#docker,1295914305494364166,0,0,0,138494043
2020-08-19 02:43:42, #kubernetes,1295914305494364166,0,0,0,138494043
2020-08-19 02:43:42, #2articles1week,1295914305494364166,0,0,0,138494043
2020-08-19 02:43:42, #3dprinter,1295914305494364166,0,0,0,138494043
2020-08-19 02:43:42, #rancher,1295914305494364166,0,0,0,138494043
2020-08-19 00:16:54,#2articles1week,1295877362484035584,0,0,0,1254540158738685953
2020-08-19 00:16:54, #tailwindcss,1295877362484035584,0,0,0,1254540158738685953
2020-08-19 00:16:54, #tailwind,1295877362484035584,0,0,0,1254540158738685953
2020-08-18 23:45:00,#facerecognition,1295869338239598592,7,0,13,787474350895226880
2020-08-18 23:45:00, #javascript,1295869338239598592,7,0,13,787474350895226880
2020-08-18 23:45:00, #tensorflow,1295869338239598592,7,0,13,787474350895226880
2020-08-18 23:29:11,#2articles1week,1295865353788985344,16,0,8,1214943582521643008
2020-08-18 23:29:11, #developer,1295865353788985344,16,0,8,1214943582521643008
2020-08-18 23:29:11, #devlife1,1295865353788985344,16,0,8,1214943582521643008
2020-08-18 22:44:33,#hashnode,1295854123284340736,1,0,0,629707231
